Name,Area of specialisation,Link,Image/Pdf,End Date,End Date 2,Country,Level needed,Link2,Action item,Deadline month
Curtain scholarship ,All disciplines,"https://scholarships.curtin.edu.au/hdr-scholarships-funding/curtin-strategic-scholarships/#:~:text=The%20Curtin%20HDR%20Scholarship%20Round,students%20opens%208%20July%202022.&amp;text=To%20apply%20for%20a%20Higher,via%20an%20advertised%20research%20project.",,31-Aug,,Australia,"MSC, PhD",,,Aug
Georgia state university ,Philosophy,https://www.gsu.edu/program/philosophy-ma/,,,,USA,MA,,,
Michigan Technological  university ,"Computer engineering, Electrical engineering, Mechanical engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/A4D90B4F-63CD-4B17-8C4E-330731BC0DBD.jpeg,,,USA,,,,
UCD ,"Earthquake engineering, Engineering, Mechanical engineering, civil engineering, structural engineering",https://sdal.ucd.ie/?p=568,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/95F83D40-C0B8-4C6B-972F-E0AAEA8A762F.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/517C7D83-819D-446E-8984-46E34C2B1E9D.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/1B24AAA6-1373-4241-8D77-F55C43C6955D.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/Fully-Funded-PhD-scholarship-in-Civil-Engineering_NexSys_2022.pdf",30-Aug,,Ireland,PhD,,,Aug
"Graduate school opportunities in Bioinformatics, genomics and life sciences ","Bioinformatics, Biology, Genomics, Life sciences",http://www.begenomics.com/phdscholarship/,,,,All countries,"MSC, PhD",,,
Mississippi state university ,"Computer engineering, Drone technology, Drones, Electrical engineering, Satellite",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/24797430-2DF2-4D51-8D53-A97C29E518E6.jpeg,01-Oct,,USA,"MSC, PhD",,,Oct
Friedrich-Schiller University Jena,"Biochemistry, Biology, Chemical biology, Chemistry, Microbiology, Pharmacy",https://jobs.uni-jena.de/jobposting/c43f450d8a29a4dd6ef76c3d2e1dc43b0729b5190,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/A92261C4-62A0-453B-89C9-8369E2FAD689.jpeg,28-Aug,,Germany,,,,Aug
University of Queensland and University of Exeter ,"Climate change, Digital Innovation, Disruptive technology, Genocide, Global environment studies, International Studies, Political science",https://www.exeter.ac.uk/study/funding/award/?id=4498,,30-Aug,,"Australia, UK",,,,Aug
Maynooth university ,"Biochemistry, immunology",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/7AF62D66-CCF5-48CE-A09B-56B88143ABCB.jpeg,09-Sep,,Ireland,PhD,,,Sep
University of Milan,"Agriculture, All disciplines, Biology, Chemistry, Computer science, Food science, History, Humanities, Law, Literature, Psychology, Social sciences, Sports, Vertinary medicine, Vertinary science, public health",https://www.unimi.it/en/education/postgraduate-and-continuing-education-programmes/doctoral-programmes-phd,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/call-2023-1-phd-sept.pdf,02-Sep,,Italy,PhD,,,Sep
UCD DUBLIN,"Bioscience, Education, Sciences",https://twitter.com/shanedbergin/status/1556988250643996678?s=21&t=2acjzCTt_9FfjEygwfoVxA,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/BFD777E9-A65B-438A-A9C5-2A521A94E4DA.jpeg,,,Ireland,PhD,,,
Vanderbilt university ,"Earth science, Ecology, Environmental science, Global ecology, Tropical ecology, Urban ecology",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/18B5EAA7-C729-41DB-9C55-6C750C075DB1.jpeg,,,USA,"PhD, Post doc",,,
Hand lab - ornamental pathology,"Agriculture, Floriculture, Plant science, horticulture, plant biology",https://u.osu.edu/handlab/people/,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/D0CCBA77-2CEB-4120-AF09-B254911D2374.jpeg,,,USA,"MSC, PhD",,Cold email,
